Key,brazilian
gunBowT1WoodenBow,"Arco de madeira."
gunBowT1WoodenBowDesc,"Bom para caçar e abater zumbis. Use flechas como munição.\nSegure “recarregar” para alternar a munição.\n\nConserte com o kit de reparos.\nRecicle para obter peças de arco / besta."
gunBowT1WoodenBowSchematic,"Diagrama de Arco de Madeira"
gunBowT3CompoundBow,"Arco composto"
gunBowT3CompoundBowDesc,"O arco composto causa mais dano e suas flechas voam de forma mais linear facilitando a mira.\n\nConserte com o kit de reparos.\nRecicle para obter peças de arco / besta."
gunBowT3CompoundBowSchematic,"Diagrama de Arco Composto"
gunBowT1IronCrossbow,"Besta de ferro"
gunBowT1IronCrossbowDesc,"Uma besta lenta para recarregar, mas que causa mais dano que um arco.\nEsta arma pode ser disparada debaixo d'água.\nSegure “recarregar” para alternar a munição.\nConserte com o kit de reparos.\nRecicle para obter peças de arco / besta."
gunBowT1IronCrossbowSchematic,"Diagrama de Besta de Ferro"
gunBowT3CompoundCrossbowSchematic,"Diagrama de Besta Composta"
gunExplosivesT3RocketLauncher,"Lança-foguetes"
gunExplosivesT3RocketLauncherDesc,"Um lança-foguetes que dispara granadas de propulsão a jato.\n\nConserte com o kit de reparos.\nRecicle para obter peças de lança-foguetes."
gunExplosivesT3RocketLauncherSchematic,"Diagrama de Lança-foguetes"
gunHandgunT0PipePistol,"Revólver de cano"
gunHandgunT0PipePistolDesc,"Pistola caseira que dispara munição de 9 mm.\n\nConserte com cano de ferro curto.\nRecicle para obter ferro."
gunHandgunT0PipePistolBlueprint,"Diagrama de Revólver Enferrujado"
gunHandgunT1Pistol,"Pistola M9"
gunHandgunT1PistolDesc,"Uma pistola básica que usa munição de 9 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de arma curta."
gunHandgunT1PistolSchematic,"Diagrama de Pistola M9"
gunHandgunT2Magnum44,".44 Magnum"
gunHandgunT2Magnum44Desc,"Um revólver muito poderoso, porém barulhento"
gunHandgunT2Magnum44Schematic,"Diagrama de .44 Magnum"
gunHandgunT3DesertVulture,"Desert Vulture .44"
gunHandgunT3DesertVultureDesc,"Pistola pesada de calibre 44"
gunHandgunT3DesertVultureSchematic,"Diagrama da Desert Vulture .44"
gunHandgunT3SMG5,"SMG -5"
gunHandgunT3SMG5Desc,"Uma submetralhadora que usa munição de 9 mm."
gunHandgunT3SMG5Schematic,"Diagrama de SMG -5"
gunMGT0PipeMachineGun,"Metralhadora de cano"
gunMGT0PipeMachineGunDesc,"Felizmente essa arma de fogo feita de sucata e canos de metal não vai explodir na sua cara."
gunMGT0PipeMachineGunBlueprint,"Diagrama de Metralhadora de Cano"
gunMGT1AK47,"Metralhadora AK-47"
gunMGT1AK47Desc,"Esta metralhadora AK-47 usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora."
gunMGT1AK47Schematic,"Diagrama de Metralhadora AK-47"
gunMGT2TacticalAR,"Rifle de Assalto Tático"
gunMGT2TacticalARDesc,"Este rifle de assalto tático usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora."
gunMGT2TacticalARSchematic,"Diagrama de Rifle de Assalto Tático"
gunMGT3M60,"Metralhadora M60"
gunMGT3M60Desc,"As metralhadoras são um pouco complicadas de usar, mas se destacam pelo disparo automático. Usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de metralhadora."
gunMGT3M60Schematic,"Diagrama de Metralhadora M60"
gunRifleT0PipeRifle,"Fuzil de cano"
gunRifleT0PipeRifleDesc,"Uma arma de fogo muito rudimentar."
gunRifleT0PipeRifleBlueprint,"Diagrama de Rifle de Cano"
gunRifleT1HuntingRifle,"Rifle de caça"
gunRifleT1HuntingRifleDesc,"Este rifle de caça comum entre fazendeiros usa munição de 7,62 mm.\n\nConserte com o kit de reparos.\nRecicle para obter peças de rifle."
gunRifleT1HuntingRifleSchematic,"Diagrama de Rifle de Caça"
gunRifleT2LeverActionRifle,"Fuzil de ação de alavanca"
gunRifleT2LeverActionRifleDesc,"Você tem que fazer cada tiro valer a pena"
gunRifleT2LeverActionRifleSchematic,"Diagrama de fuzil de ação de alavanca"
gunRifleT2MarksmanRifle,"Rifle de Atirador"
gunRifleT2MarksmanRifleDesc,"Rifle de nível médio com bom poder de fogo"
gunRifleT3SniperRifle,"Fuzil de Precisão"
gunRifleT3SniperRifleDesc,"Este fuzil de longo alcance e alta precisão é perfeito para alvejar inimigos a grandes distâncias.\n\nRepare com um kit de reparos.\nRecicle para obter peças de rifle."
gunRifleT3SniperRifleSchematic,"Diagrama de Fuzil de Precisão"
gunShotgunT0PipeShotgun,"Espingarda de cano"
gunShotgunT0PipeShotgunDesc,"Arma caseira que dispara balas de espingarda.\nEficaz quando usada de muito perto.\n\nConserte com cano de ferro curto.\nRecicle para obter ferro."
gunShotgunT0PipeShotgunBlueprint,"Diagrama de Espingarda de Cano"
gunShotgunT1DoubleBarrel,"Espingarda de cano duplo"
gunShotgunT1DoubleBarrelDesc,"Uma espingarda de cano duplo velha e enferrujada, ótima para carnificina a curta distância.\n\nConserte com kit de reparos.\nRecicle para obter peças de espingarda."
gunShotgunT1DoubleBarrelSchematic,"Diagrama de Espingarda de Cano Duplo"
gunShotgunT2PumpShotgun,"Espingarda de ação bomba"
gunShotgunT2PumpShotgunDesc,"Uma espingarda de cano longo que usa cartuchos de munição.\n\nConserte com kit de reparos.\nRecicle para obter peças de espingarda."
gunShotgunT2PumpShotgunSchematic,"Diagrama de Espingarda de Ação Bomba"
gunShotgunT3AutoShotgun,"Espingarda Automática"
gunShotgunT3AutoShotgunDesc,"Esta espingarda semiautomática é uma arma rara e devastadora de curto alcance capaz de fazer picadinho de qualquer coisa no caminho.\n\nRepare com um kit de reparos.\nRecicle para obter peças de espingarda."
gunShotgunT3AutoShotgunSchematic,"Diagrama de espingarda automática"
leatherPoncho,"Poncho"
leatherPonchoDesc,"Este poncho fornece um pouco de proteção e ajuda você a sobreviver ao clima quente."
lightPlayerNoPowerGroupDesc,"Não requer fonte de alimentação externa"
medicalBloodDrawKit,"Sucata reciclável"
medicalBloodDrawKitDesc,"Use kits de coleta de sangue para fazer bolsas de sangue. Podem ser usados para criar kits de primeiros socorros."
medicalFirstAidBandageSchematic,"Diagrama de Curativo de Primeiros Socorros"
medicalFirstAidKitSchematic,"Diagrama de Kit de Primeiros Socorros"
medicalPlasterCastSchematic,"Diagrama de Gesso"
meleeToolAxeT1IronFireaxe,"Machado de Ferro"
meleeToolAxeT1IronFireaxeDesc,"O machado de ferro é bom para recolher madeira.\n\nConserte com o kit de reparos.\nRecicle para obter ferro."
meleeToolAxeT2SteelAxe,"Machado de Aço"
meleeToolAxeT2SteelAxeDesc,"O machado de aço tem uma lâmina resistente e é ótimo para recolher madeira.\n\nConserte com o kit de reparos.\nRecicle para obter peças de ferramenta de aço."
meleeToolAxeT3Chainsaw,"Motosserra"
meleeToolAxeT3ChainsawDesc,"Corte as maiores árvores ou zumbis mais rápido do que o Paul Bunyan com essa motosserra a gasolina.\n\nConserte com o kit de reparos.\nRecicle para obter peças de ferramenta de motor."
meleeToolAxeT3ChainsawSchematic,"Diagrama de Motosserra"
meleeToolFlashlight02,"Lanterna"
meleeToolFlashlight02Desc,"A lanterna serve de fonte de iluminação ao acionar sua ação de fonte de luz.\n\nRecicle para obter peças elétricas."
meleeToolHuntingKnife,"Faca de caça"
meleeToolHuntingKnifeDesc,"Ferramenta útil para cortar madeira para obter [decea3]Resina[-], cactos para obter [decea3]Fruto de Yucca[-]. Também é bastante útil para eviscerar animais."
meleeToolIronSetSchematic,"Diagrama de Ferramentas de Ferro"
meleeToolMachete,"Machete de Ferro"
meleeToolMacheteDesc,"Ferramenta útil para cortar madeira para obter [decea3]Resina[-], cactos para obter [decea3]Fruto de Yucca[-]. Também é bastante útil para eviscerar animais ou cortar os membros de zumbis."
meleeToolPickT1IronPickaxe,"Picareta de Ferro"
meleeToolPickT1IronPickaxeDesc,"A picareta de ferro é boa para quebrar pedras e recolher minérios.\n\nConserte com o kit de reparos.\nRecicle para obter ferro."
meleeToolPickT2SteelPickaxe,"Picareta de Aço"
meleeToolPickT2SteelPickaxeDesc,"A picareta de aço é a melhor para quebrar pedras e recolher minérios.\n\nConserte com o kit de reparos.\nRecicle para obter peças de Ferramenta de Aço."
meleeToolPickT3Auger,"Broca"
meleeToolPickT3AugerDesc,"Perfure com sua broca e deixe outros mineradores com inveja quando eles virem você empunhando essa ferramenta sensual movida a combustível.\n\nConserte com o kit de reparos.\nRecicle para obter peças de ferramenta de motor."
meleeToolPickT3AugerSchematic,"Diagrama de Broca"
meleeToolRepairT1ClawHammer,"Martelo"
meleeToolRepairT1ClawHammerDesc,"O martelo é ótimo para consertar e melhorar muros, além de não fazer feio como arma.\n\nConserte com o kit de reparos.\nRecicle para obter ferro."
meleeToolRepairT3Nailgun,"Pistola de pregos"
meleeToolRepairT3NailgunDesc,"A pistola de pregos é a melhor ferramenta para consertar e melhorar muros, além de não ser uma arma ruim se você tiver pregos.\n\nConserte com o kit de reparos.\nRecicle para obter peças mecânicas."
meleeToolRepairT3NailgunSchematic,"Diagrama de Pistola de Pregos"
meleeToolRepairT0StoneAxe,"Machado de Pedra"
meleeToolRepairT0StoneAxeDesc,"Uma ferramenta primitiva usada para cortar madeira, escavar pedras, consertar e melhorar muros, portas e janelas. Não serve muito como arma. Não é a melhor das armas.\nConserte com Pedra Pequena.\nSucateie para transformar em pedra pequena"
meleeToolRepairT0TazasStoneAxe,"Machado de Pedra do Taza"
meleeToolRepairT0TazasStoneAxeDesc,"O machado de pedra do Taza é um antigo artefato indígena raro e poderoso. Os apaches acreditavam que quem o empunhava era invencível em batalha.\nConserte com Pedra Pequena."
meleeToolSalvageT1Wrench,"Chave Inglesa"
meleeToolSalvageT1WrenchDesc,"Ótima para desmontar dispositivos mecânicos como carros, aparelhos de ar condicionado e muito mais.\n\nConserte com o kit de reparos.\nRecicle para obter ferro."
meleeToolSalvageT1WrenchSchematic,"Diagrama de Chave Inglesa"
meleeToolSalvageT2Ratchet,"Chave Catraca"
meleeToolSalvageT2RatchetDesc,"Ótima para desmontar carros, aparelhos de ar-condicionado e muito mais.\n\nRepare com um kit de reparos.\nRecicle para obter peças de ferramenta de aço."
meleeToolSalvageT2RatchetSchematic,"Diagrama de Chave Catraca"
meleeToolSalvageT3ImpactDriver,"Chave de Impacto"
meleeToolSalvageT3ImpactDriverDesc,"Ótima para desmontar carros, aparelhos de ar-condicionado e muito mais.\n\nRepare com um kit de reparos.\nRecicle para obter peças de ferramenta de motor."
meleeToolSalvageT3ImpactDriverSchematic,"Diagrama de Chave de Impacto"
meleeToolShovelIron,"Pá de Ferro"
meleeToolShovelIronDesc,"Ótima ferramenta para cavar e coletar terra, areia ou neve."
meleeToolShovelSteel,"Pá de Aço"
meleeToolShovelSteelDesc,"Ótima ferramenta para cavar e coletar terra, areia ou neve."
meleeToolShovelT0StoneShovel,"Pá de Pedra"
meleeToolShovelT0StoneShovelDesc,"A pá de pedra é uma ferramenta primitiva usada para cavar na lama, na areia e na neve.\nConserte com Pedra Pequena.\nSucateie para transformar em pedra pequena."
meleeToolShovelT1IronShovel,"Pá de Ferro"
meleeToolShovelT1IronShovelDesc,"A pá de ferro é boa para cavar na terra, na areia e na neve.\n\nConserte com o kit de reparos.\nRecicle para obter ferro."
meleeToolShovelT2SteelShovel,"Pá de Aço"
meleeToolShovelT2SteelShovelDesc,"A pá de aço é muito resistente e a ferramenta ideal para cavar na terra, na areia e na neve.\n\nConserte com o kit de reparos.\nRecicle para obter peças de Ferramenta de Aço."
meleeToolSteelSetSchematic,"Diagrama de Ferramentas de Aço"
meleeToolTorch,"Tocha"
meleeToolTorchDesc,"A tocha pode ser usada como fonte de luz ou como arma e tem chance de incendiar inimigos. Posicione-a com a ação secundária. Pode atrair zumbis."
meleeWpnBatonT2StunBaton,"Cassetete Atordoante"
meleeWpnBatonT2StunBatonDesc,"Dá choque.\n\nConserte com o kit de reparos.\nRecicle para obter peças de cassetete atordoante."
meleeWpnBatonT2StunBatonSchematic,"Diagrama de Cassetete Atordoante"
meleeWpnBladeT0BoneKnife,"Faca de Osso"
meleeWpnBladeT0BoneKnifeDesc,"Arma primitiva improvisada que também é útil para estripar animais.\nAtaques normais causam 1 de ferimento de sangramento e ataques potentes causam pelo menos 2.\nConserte com Osso.\nSucateie para virar osso."
meleeWpnBladeT1HuntingKnife,"Faca de Caça"
meleeWpnBladeT1HuntingKnifeDesc,"Ótima para talhar zumbis e estripar animais para obtenção de carne.\nAtaques normais causam 1 de ferimento de sangramento e ataques potentes causam pelo menos 2.\nConserte com o kit de reparos.\nRecicle para obter ferro."
meleeWpnBladeT1HuntingKnifeSchematic,"Diagrama de Faca de Caça"
meleeWpnBladeT1CandyKnife,"Faca de Doce"
meleeWpnBladeT1CandyKnifeDesc,"Hora de uma apunhalada festiva e colorida!\nAtaques normais causam 1 de ferimento de sangramento e ataques potentes causam pelo menos 2.\n\nConserte com o kit de reparos."
meleeWpnBladeT3Machete,"Facão"
meleeWpnBladeT3MacheteDesc,"Ótima para cortar zumbis e, às vezes, árvores também, além de servir para estripar animais e obter carne.\nAtaques normais causam 1 de ferimento de sangramento e ataques potentes causam pelo menos 2.\nConserte com o kit de reparos.\nRecicle para obter peças de facão."
meleeWpnClubT0WoodenClub,"Porrete de Madeira"
meleeWpnClubT0WoodenClubDesc,"Um porrete de madeira. Bom para quebrar joelhos e crânios.\n\nConserte com madeira.\nRecicle para obter madeira."
meleeWpnClubT1BaseballBat,"Taco de beisebol"
meleeWpnClubT1BaseballBatDesc,"Este taco era usado nos jogos de gladiadores do passado que aconteciam em grandes arenas.\n\nConserte com o kit de reparos.\nRecicle para obter madeira."
meleeWpnClubT1BaseballBatSchematic,"Diagrama de Taco de Beisebol"
meleeWpnClubT1CandyClub,"Taco de Doce"
meleeWpnClubT1CandyClubDesc,"Feliz dias das tacadas!\n\n\nConserte com o kit de reparos."
meleeWpnClubT3SteelClub,"Porrete de aço"
meleeWpnClubT3SteelClubDesc,"Os porretes de aço são muito duráveis e contundentes.\n\nRepare com um kit de reparos.\nRecicle para obter peças de porrete de aço."
meleeWpnKnucklesT0LeatherKnuckles,"Faixas para as mãos"
meleeWpnKnucklesT0LeatherKnucklesDesc,"Faixas de couro que protegem suas mãos e dão mais peso aos seus socos.\n\nConserte com couro.\nSucateie para virar couro."
meleeWpnKnucklesT1IronKnuckles,"Soco Inglês"
meleeWpnKnucklesT1IronKnucklesDesc,"Protege sua mãos e dá mais peso aos seus socos.\n\nConserte com o kit de reparos.\nRecicle para obter ferro."
meleeWpnKnucklesT1IronKnucklesSchematic,"Diagrama de Soco Inglês"
meleeWpnKnucklesT3SteelKnuckles,"Soco Inglês de Aço"
meleeWpnKnucklesT3SteelKnucklesDesc,"Protege suas mãos e dá mais peso aos seus socos. As lâminas também são úteis para estripar animais.\n\nConserte com o kit de reparos.\nRecicle para obter peças de soco inglês de aço."
meleeWpnKnucklesT3SteelKnucklesSchematic,"Diagrama de Soco Inglês de Aço"
meleeWpnBatonT0PipeBaton,"Cassetete de cano"
meleeWpnBatonT0PipeBatonDesc,"Este cassetete criado de sucata é leve, mas ainda dá boas pancadas.\n\nConserte com cano de ferro curto.\nRecicle para obter ferro."
meleeWpnSledgeT0StoneSledgehammer,"Marreta de Pedra"
meleeWpnSledgeT0StoneSledgehammerDesc,"Esta marreta é uma das melhores armas para abrir crânios.\nConserte com pedra pequena.\nSucateie para transformar em pedra pequena."
meleeWpnSledgeT1IronSledgehammer,"Marreta de Ferro"
meleeWpnSledgeT1IronSledgehammerDesc,"Esta marreta é uma das melhores armas para abrir crânios.\n\nConserte com o kit de reparos.\nRecicle para obter ferro."
meleeWpnSledgeT1IronSledgehammerSchematic,"Diagrama de Marreta de Ferro"
meleeWpnSledgeT3SteelSledgehammer,"Marreta de Aço"
meleeWpnSledgeT3SteelSledgehammerDesc,"Esta marreta é uma das melhores armas para abrir crânios.\n\nConserte com o kit de reparos.\nRecicle para obter peças de marreta de aço."
meleeWpnSledgeT3SteelSledgehammerSchematic,"Diagrama de Marreta de Aço"
meleeWpnSpearT0StoneSpear,"Lança de Pedra"
meleeWpnSpearT0StoneSpearDesc,"As lanças têm mais alcance do que as outras armas e também podem ser arremessadas.\nConserte com a pedra pequena.\nSucateie para transformar em pedra pequena."
meleeWpnSpearT1IronSpear,"Lança de Ferro"
meleeWpnSpearT1IronSpearDesc,"As lanças têm mais alcance do que as outras armas e também podem ser arremessadas.\n\nConserte com o kit de reparos.\nRecicle para obter ferro."
meleeWpnSpearT1IronSpearSchematic,"Diagrama de Lança de Ferro"
meleeWpnSpearT3SteelSpear,"Lança de Aço"
meleeWpnSpearT3SteelSpearDesc,"As lanças têm mais alcance do que as outras armas e também podem ser arremessadas.\n\nConserte com o kit de reparos.\nRecicle para obter peças de lança de aço."
modArmorAdvancedMuffledConnectors,"Modificação de Conectores Abafados Avançados"
modArmorAdvancedMuffledConnectorsSchematic,"Diagrama da Modificação de Conectores Abafados Av."
modArmorBandolier,"Modificação de Bandoleira"
modArmorBandolierSchematic,"Diagrama da Modificação de Bandoleira"
modArmorCoolingMesh,"Modificação de Malha de Resfriamento"
modArmorCoolingMeshSchematic,"Diagrama da Modificação de Malha de Resfriamento"
modArmorCustomizedFittings,"Modificação de Acessórios Personalizados"
modArmorCustomizedFittingsSchematic,"Diagrama da Modificação de Acessórios Personalizados"
modArmorDoubleStoragePocket,"Modificação de bolso duplo de armadura"
modArmorDoubleStoragePocketDesc,"Ao instalar esta modificação na sua armadura, ela diminuirá a penalidade de sobrecarga em 2."
modArmorDoubleStoragePocketSchematic,"Diagrama da modificação de bolso duplo de armadura"
modArmorHelmetLight,"Modificação de Luz de Capacete"
modArmorHelmetLightSchematic,"Diagrama da Modificação de Luz de Capacete"
modArmorImpactBracing,"Modificação de Proteção de Impacto"
modArmorImpactBracingSchematic,"Diagrama da Modificação de Proteção de Impacto"
modArmorImprovedFittings,"Modificação de Encaixes Melhorados"
modArmorImprovedFittingsSchematic,"Diagrama da Modificação de Encaixes Melhorados"
modArmorInsulatedLiner,"Modificação de Forro de Isolamento"
modArmorInsulatedLinerSchematic,"Diagrama da Modificação de Forro de Isolamento"
modArmorMuffledConnectors,"Modificação de Conectores Abafados"
modArmorMuffledConnectorsSchematic,"Diagrama da Modificação de Conectores Abafados"
modArmorPlatingBasic,"Modificação de Blindagem de Armadura"
modArmorPlatingBasicSchematic,"Diagrama da Modificação de Placa de Armadura"
modArmorPlatingReinforced,"Modificação de Placa de Armadura Amarrada"
modArmorPlatingReinforcedSchematic,"Diagrama da Modificação de Placa de Armadura Amarrada"
modArmorStoragePocket,"Modificação de bolso de armadura"
modArmorStoragePocketDesc,"Ao instalar esta modificação na sua armadura, ela diminuirá a penalidade de sobrecarga em 1."
modArmorStoragePocketSchematic,"Diagrama da modificação de bolso de armadura"
modArmorTripleStoragePocket,"Modificação de bolso triplo de armadura"
modArmorTripleStoragePocketDesc,"Ao instalar esta modificação na sua armadura, ela diminuirá a penalidade de sobrecarga em 3."
modArmorTripleStoragePocketSchematic,"Diagrama da modificação de bolso triplo de armadura"
modArmorWaterPurifier,"Modificação de Purificador de Água"
modArmorWaterPurifierSchematic,"Diagrama da Modificação de Purificador de Água"
modClothingStoragePocket,"Modificação de bolso de roupas"
modClothingStoragePocketDesc,"Ao instalar esta modificação em calças, camisas e casacos, ela diminuirá a penalidade de sobrecarga em 1."
modClothingCargoStoragePocket,"Modificação de bolso duplo de roupas"
modClothingCargoStoragePocketDesc,"Ao instalar esta modificação em calças, camisas e casacos, ela diminuirá a penalidade de sobrecarga em 2."
modFuelTankLarge,"Modificação de Tanque Grande"
modFuelTankLargeSchematic,"Diagrama da Modificação de Tanque Grande"
modFuelTankSmall,"Modificação de Tanque Pequeno"
modFuelTankSmallSchematic,"Diagrama da Modificação de Tanque Pequeno"
modGunBarrelExtender,"Modificação de Extensor de Cano"
modGunBarrelExtenderSchematic,"Diagrama da Modificação de Extensor de Cano"
modGunBipod,"Modificação de Bipé"
modGunBipodSchematic,"Diagrama da Modificação de Bipé"
modGunBowArrowRest,"Modificação de Apoio para Flechas"
modGunBowArrowRestSchematic,"Diagrama da Modificação de Apoio para Flechas"
modGunBowPolymerString,"Modificação de Corda de Polímero"
modGunBowPolymerStringSchematic,"Diagrama da Modificação de Corda de Polímero"
modGunChoke,"Modificação de Estrangulador de Espingarda"
modGunChokeSchematic,"Diagrama da Modificação de Estrangulador de Espingarda"
modGunCrippleEm,"Modificação Aleijadora"
modGunCrippleEmSchematic,"Diagrama da Modificação Aleijadora"
modGunDrumMagazineExtender,"Modificação de Carregadores Cilíndricos"
modGunDrumMagazineExtenderDesc,"Este carregador cilíndrico grande dobra a capacidade de munição das metralhadoras, mas deixa a recarga um pouco mais lenta."
modGunDuckbill,"Modificação de Estrangulador Bico de Pato de Espingarda"
modGunDuckbillSchematic,"Diagrama da Modificação de Estrangulador Bico de Pato para Espingarda"
modGunFlashlight,"Modificação de Lanterna de Arma"
modGunFlashlightSchematic,"Diagrama da Modificação de Lanterna de Arma"
modGunForegrip,"Modificação de Empunhadura Frontal"
modGunForegripSchematic,"Diagrama da Modificação de Empunhadura Frontal"
modGunLaserSight,"Modificação de Mira à Laser"
modGunLaserSightSchematic,"Diagrama da Modificação de Mira à Laser"
modGunMagazineExtender,"Modificação de Extensor de Pente"
modGunMagazineExtenderSchematic,"Diagrama da Modificação de Extensor de Pente"
modGunMeleeBlessedMetal,"Modificação de Metal Abençoado"
modGunMeleeBlessedMetalDesc,"Aumenta o dano a alvos mortos-vivos."
modGunMeleeBlessedMetalSchematic,"Diagrama da Modificação de Metal Abençoado"
modGunMeleeRadRemover,"Modificação Remove-radiação"
modGunMeleeRadRemoverSchematic,"Diagrama da Modificação Remove-radiação"
modGunMeleeTheHunter,"Modificação O Caçador"
modGunMeleeTheHunterDesc,"Aumenta o dano em todos os animais."
modGunMeleeTheHunterSchematic,"Diagrama da Modificação O Caçador"
modGunMuzzleBrake,"Modificação de Freio de Boca"
modGunMuzzleBrakeSchematic,"Diagrama da Modificação de Freio de Boca"
modGunReflexSight,"Modificação de Mira Reflexiva"
modGunReflexSightSchematic,"Diagrama da Modificação de Mira Reflexiva"
modGunRetractingStock,"Modificação de Coronha Retrátil"
modGunRetractingStockSchematic,"Diagrama da Modificação de Coronha Retrátil"
modGunScopeSmall,"Modificação de Mira 2x"
modGunScopeSmallSchematic,"Diagrama da Modificação de Mira 2x"
modGunScopeMedium,"Modificação de Mira 4x"
modGunScopeMediumSchematic,"Diagrama da Modificação de Mira 4x"
modGunScopeLarge,"Modificação de Mira 8x"
modGunScopeLargeSchematic,"Diagrama da Modificação de Mira 8x"
modGunSoundSuppressorSilencer,"Modificação de Silenciador"
modGunSoundSuppressorSilencerSchematic,"Diagrama da Modificação de Silenciador"
modGunTriggerGroupBurst3,"Classe de Gatilho: Modificação de Explosão"
modGunTriggerGroupBurst3Schematic,"Classe de Gatilho: Diagrama da Modificação de Explosão"
modGunTriggerGroupAutomatic,"Classe de Gatilho: Modificação de Modo Automático"
modGunTriggerGroupAutomaticSchematic,"Classe de Gatilho: Diagrama da Modificação de Modo Automático"
modGunTriggerGroupSemi,"Classe de Gatilho: Modificação de Modo Semiautomático"
modGunTriggerGroupSemiSchematic,"Classe de Gatilho: Diagrama da Modificação de Modo Semiautomático"
modMeleeBunkerBuster,"Modificação de Antibunker"
modMeleeBunkerBusterDesc,"Aumenta dano contra [decea3]Pedra[-]."
modMeleeBunkerBusterSchematic,"Diagrama da Modificação de Antibunker"
modMeleeClubBurningShaft,"Modificação de Setas Flamejantes"
modMeleeClubBurningShaftSchematic,"Diagrama da Modificação de Setas Flamejantes"
modMeleeClubBarbedWire,"Modificação de Arame Farpado"
modMeleeClubBarbedWireSchematic,"Diagrama da Modificação de Arame Farpado"
modMeleeClubMetalSpikes,"Modificação de Cravos de Metal"
modMeleeClubMetalSpikesSchematic,"Diagrama da Modificação de Cravos de Metal"
modMeleeDiamondTip,"Modificação de Ponta de Lâmina de Diamante"
modMeleeDiamondTipDesc,"Qualquer ferramenta manual ou arma de lâmina se degrada mais lentamente com essa modificação."
modMeleeErgonomicGrip,"Modificação de Empunhadura Ergonômica"
modMeleeErgonomicGripSchematic,"Diagrama da Modificação de Empunhadura Ergonômica"
modMeleeFiremansAxeMod,"Modificação de Machado de Bombeiro"
modMeleeFiremansAxeModDesc,"Aumenta o dano em blocos mas diminui o dano em inimigos."
modMeleeFortifyingGrip,"Modificação de Empunhadura Fortificante"
modMeleeFortifyingGripSchematic,"Diagrama da Modificação de Empunhadura Fortificante"
modMeleeGraveDigger,"Modificação Cava-tumbas"
modMeleeGraveDiggerDesc,"Mais 15% de dano contra sujeira."
modMeleeGraveDiggerSchematic,"Diagrama da Modificação Cava-tumbas"
modMeleeIronBreaker,"Modificação Quebra-ferro"
modMeleeIronBreakerDesc,"Mais 15% de dano contra ferro."
modMeleeIronBreakerSchematic,"Diagrama da Modificação Quebra-ferro"
modMeleeSerratedBlade,"Modificação de Lâmina Serrilhada"
modMeleeSerratedBladeSchematic,"Diagrama da Modificação de Lâmina Serrilhada"
modMeleeStructuralBrace,"Modificação de Braçadeira de Estrutura"
modMeleeStructuralBraceDesc,"Esta modificação para armas corpo a corpo e ferramentas diminui a degradação em 25%."
modMeleeStructuralBraceSchematic,"Diagrama da Modificação de Braçadeira de Estrutura"
modMeleeTemperedBlade,"Modificação de Lâmina Temperada"
modMeleeTemperedBladeDesc,"Esta modificação de lâmina aumenta o dano a bloco em 10% e diminui a degradação em 15%."
modMeleeTemperedBladeSchematic,"Diagrama da Lâmina Temperada"
modMeleeWeightedHead,"Modificação Cabeça Pesada"
modMeleeWeightedHeadDesc,"Uma modificação para armas corpo a corpo e ferramentas.\nAdiciona chance de atordoar e desacelerar as vítimas.\n\nFacas e facões não têm uma cabeça que possa ser pesada."
modMeleeWeightedHeadSchematic,"Diagrama da Modificação Cabeça Pesada"
modMeleeWoodSplitter,"Modificação Racha Madeira"
modMeleeWoodSplitterDesc,"Mais 15% de dano contra madeira."
modMeleeWoodSplitterSchematic,"Diagrama da Modificação Racha Madeira"
modRoboticDroneArmorPlatingMod,"Modificação de Placa de Blindagem de Drone Robótico"
modRoboticDroneArmorPlatingModSchematic,"Diagrama de Modificação de Placa de Armadura de Drone Robótico"
modRoboticDroneCargoMod,"Modificação de Carga de Drone Robótico"
modRoboticDroneCargoModSchematic,"Diagrama de Modificação de Carga de Drone Robótico"
modRoboticDroneHeadlampMod,"Modificação de Farol de Drone Robótico"
modRoboticDroneHeadlampModSchematic,"Diagrama de Modificação de Farol de Drone Robótico"
modRoboticDroneMedicMod,"Modificação de Médico de Drone Robótico"
modRoboticDroneMedicModSchematic,"Diagrama de Modificação de Médico de Drone Robótico"
modRoboticDroneMoraleBoosterMod,"Modificação de Incentivo de Moral de Drone Robótico"
modRoboticDroneMoraleBoosterModSchematic,"Diagrama de Modificação de Incentivo de Moral de Drone Robótico"
modShotgunSawedOffBarrel,"Modificação de Espingarda de Cano Serrado"
modShotgunSawedOffBarrelSchematic,"Diagrama da Modificação de Espingarda de Cano Serrado"
modVehicleExpandedSeat,"Modificação de Assento Expandido de Veículo"
modVehicleExpandedSeatSchematic,"Diagrama de Modificação de Assento Expandido de Veículo"
modVehicleFuelSaver,"Modificação Economiza Combustível"
modVehicleFuelSaverSchematic,"Diagrama da Modificação Economiza Combustível"
modVehicleOffRoadHeadlights,"Modificação de Farol Veicular Fora de Estrada"
modVehicleOffRoadHeadlightsSchematic,"Diagrama da Modificação de Farol Veicular Fora de Estrada"
